City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,Zaysan,47.4667,84.8667,60.84,46,19,2.17,KZ,2022-09-10 16:33:52
100,Cockburn Town,21.4612,-71.1419,87.76,70,40,11.5,TC,2022-09-10 16:33:53
101,Longyan,25.1072,117.0225,71.15,89,13,1.77,CN,2022-09-10 16:33:53
102,Umm Lajj,25.0213,37.2685,86.47,69,1,8.81,SA,2022-09-10 16:33:54
103,Dehloran,32.6941,47.2679,98.89,10,0,8.81,IR,2022-09-10 16:33:54
104,Upernavik,72.7868,-56.1549,44.28,89,100,11.23,GL,2022-09-10 16:33:55
105,Bandarbeyla,9.4942,50.8122,78.55,79,36,28.68,SO,2022-09-10 16:33:55
106,Boyolangu,-8.1181,111.8935,74.53,95,95,4.16,ID,2022-09-10 16:33:56
107,Bathsheba,13.2167,-59.5167,88.41,70,40,10.36,BB,2022-09-10 16:33:56
108,Longkou,37.6508,120.3286,69.4,79,26,5.66,CN,2022-09-10 16:33:57
109,Port Alfred,-33.5906,26.891,64.18,91,71,1.99,ZA,2022-09-10 16:33:57
110,Fortuna,40.5982,-124.1573,57.54,42,59,4.43,US,2022-09-10 16:33:58
111,Olafsvik,64.8945,-23.7142,54.55,78,90,9.37,IS,2022-09-10 16:33:58
112,Lyubytino,58.8122,33.3922,46.71,71,23,0.51,RU,2022-09-10 16:33:58
113,Marsa Matruh,31.3525,27.2453,80.8,61,0,11.5,EG,2022-09-10 16:33:59
114,Salalah,17.0151,54.0924,78.89,89,0,5.75,OM,2022-09-10 16:33:59
115,East London,-33.0153,27.9116,67.14,82,20,4.61,ZA,2022-09-10 16:33:59
116,Lasa,46.6166,10.7002,65.28,79,62,2.95,IT,2022-09-10 16:34:00
117,Castro,-24.7911,-50.0119,79.75,49,62,8.34,BR,2022-09-10 16:34:00
118,Hobart,-42.8794,147.3294,48.06,71,92,17.27,AU,2022-09-10 16:30:03
119,Port Blair,11.6667,92.75,80.64,83,75,2.3,IN,2022-09-10 16:34:00
120,Saint Anthony,45.0205,-93.218,66.31,84,0,9.22,US,2022-09-10 16:30:27
121,Kutum,14.2,24.6667,85.62,30,53,8.55,SD,2022-09-10 16:34:01
122,Saint-Philippe,-21.3585,55.7679,71.19,73,52,11.32,RE,2022-09-10 16:34:01
123,Weihai,37.5017,122.1136,68.68,90,1,5.46,CN,2022-09-10 16:34:02
124,Jucurutu,-6.0339,-37.0203,96.94,23,0,8.75,BR,2022-09-10 16:34:02
125,Kargil,34.5667,76.1,60.06,47,95,7.74,IN,2022-09-10 16:34:02
126,Paamiut,61.994,-49.6678,45.82,73,82,2.89,GL,2022-09-10 16:34:03
127,Vradiyivka,47.862,30.5919,60.76,80,89,12.3,UA,2022-09-10 16:34:03
128,Butaritari,3.0707,172.7902,81.27,70,19,14.45,KI,2022-09-10 16:34:04
129,Northam,51.0333,-4.2167,67.6,80,52,3.31,GB,2022-09-10 16:34:04
130,Parrita,9.5201,-84.3225,84.02,68,100,3.74,CR,2022-09-10 16:34:04
131,Lazaro Cardenas,17.9583,-102.2,85.28,70,78,6.38,MX,2022-09-10 16:34:05
132,Georgetown,5.4112,100.3354,83.89,84,20,3.44,MY,2022-09-10 16:30:26
133,Artyom,40.4723,50.333,71.74,47,22,12.03,AZ,2022-09-10 16:34:06
134,Vila Velha,-20.3297,-40.2925,87.75,42,0,17.27,BR,2022-09-10 16:29:24
135,Oranjemund,-28.55,16.4333,63.88,57,42,3.96,NA,2022-09-10 16:34:06
136,Rio Grande,-32.035,-52.0986,59.11,55,1,18.16,BR,2022-09-10 16:34:06
137,Thinadhoo,0.5333,72.9333,82.09,73,21,12.35,MV,2022-09-10 16:30:13
138,Yuli,9.6989,10.2744,74.37,91,96,3.4,NG,2022-09-10 16:35:07
139,Svetlaya,46.5389,138.3297,59.14,76,0,5.68,RU,2022-09-10 16:35:07
140,Nanortalik,60.1432,-45.2371,47.28,71,1,10.07,GL,2022-09-10 16:35:07
141,Makakilo City,21.3469,-158.0858,75.69,87,0,8.05,US,2022-09-10 16:35:08
142,Betamcherla,15.4667,78.1667,78.17,77,100,15.01,IN,2022-09-10 16:35:08
143,Torbay,47.6666,-52.7314,58.57,91,100,27.0,CA,2022-09-10 16:35:09
144,Jalalabad,34.4265,70.4515,84.38,52,0,5.19,AF,2022-09-10 16:35:09
145,Iqaluit,63.7506,-68.5145,44.33,87,75,9.22,CA,2022-09-10 16:35:10
146,Tiznit,29.5833,-9.5,87.19,35,73,8.34,MA,2022-09-10 16:35:10
147,Norman Wells,65.282,-126.8329,51.84,66,75,18.41,CA,2022-09-10 16:35:10
148,Ashington,50.9331,-0.3909,71.29,66,20,5.75,GB,2022-09-10 16:35:11
149,Tiksi,71.6872,128.8694,38.55,88,99,7.56,RU,2022-09-10 16:35:11
150,Mabaruma,8.2,-59.7833,84.45,74,41,5.84,GY,2022-09-10 16:35:11
151,Bowen,-20.0167,148.2333,65.05,71,0,4.79,AU,2022-09-10 16:35:12
152,Bengkulu,-3.8004,102.2655,75.0,85,97,4.45,ID,2022-09-10 16:35:12
153,Vao,-22.6667,167.4833,72.3,89,21,15.08,NC,2022-09-10 16:35:12
154,Pasighat,28.0667,95.3333,74.16,81,1,4.07,IN,2022-09-10 16:35:13
155,Formosa Do Rio Preto,-11.0483,-45.1931,97.0,17,0,5.23,BR,2022-09-10 16:35:13
156,Divnomorskoye,44.5011,38.1353,73.31,34,33,14.63,RU,2022-09-10 16:35:14
157,Ambilobe,-13.2,49.05,72.52,67,87,4.88,MG,2022-09-10 16:35:14
158,Palwal,28.15,77.3333,88.14,50,47,6.08,IN,2022-09-10 16:30:56
159,Tuktoyaktuk,69.4541,-133.0374,37.4,100,100,14.97,CA,2022-09-10 16:35:14
160,Cabo San Lucas,22.8909,-109.9124,87.06,72,0,4.61,MX,2022-09-10 16:35:15
161,Provideniya,64.3833,-173.3,41.5,82,11,2.1,RU,2022-09-10 16:35:15
162,Qaanaaq,77.484,-69.3632,37.38,77,91,5.93,GL,2022-09-10 16:35:15
163,Miles City,46.4083,-105.8406,54.57,66,0,4.61,US,2022-09-10 16:34:11
164,Calama,-22.4667,-68.9333,72.09,8,0,9.22,CL,2022-09-10 16:34:28
165,Atuona,-9.8,-139.0333,76.64,75,33,22.41,PF,2022-09-10 16:35:16
166,Hasaki,35.7333,140.8333,72.0,87,100,24.02,JP,2022-09-10 16:35:16
167,Anshun,26.25,105.9333,61.34,96,100,3.6,CN,2022-09-10 16:35:17
168,Sambava,-14.2667,50.1667,70.23,85,8,10.54,MG,2022-09-10 16:35:17
169,Neiafu,-18.65,-173.9833,75.88,88,40,1.14,TO,2022-09-10 16:35:17
170,Keokuk,40.3973,-91.3849,81.09,65,0,8.05,US,2022-09-10 16:35:18
171,Vostok,46.4856,135.8833,50.76,85,0,3.58,RU,2022-09-10 16:35:18
172,Ubauro,28.1652,69.7289,94.55,35,0,6.51,PK,2022-09-10 16:35:18
173,Panguipulli,-39.6333,-72.3333,54.48,67,3,3.15,CL,2022-09-10 16:32:10
174,Prado,-17.3411,-39.2208,77.74,52,0,11.63,BR,2022-09-10 16:35:19
175,Saskylakh,71.9167,114.0833,34.61,98,100,13.13,RU,2022-09-10 16:35:19
176,Mount Gambier,-37.8333,140.7667,48.54,81,100,8.52,AU,2022-09-10 16:35:20
177,Kruisfontein,-34.0033,24.7314,59.88,81,87,8.81,ZA,2022-09-10 16:35:20
178,Ilulissat,69.2167,-51.1,46.42,71,75,4.61,GL,2022-09-10 16:35:20
179,Bubaque,11.2833,-15.8333,80.29,77,55,6.51,GW,2022-09-10 16:35:21
180,Guayama,17.9841,-66.1138,88.23,79,86,10.0,PR,2022-09-10 16:35:21
181,Sinnamary,5.3833,-52.95,84.33,66,20,11.01,GF,2022-09-10 16:35:22
182,Portland,45.5234,-122.6762,81.88,29,100,14.0,US,2022-09-10 16:31:05
183,Tigzirt,36.8886,4.1198,84.27,56,6,11.77,DZ,2022-09-10 16:35:22
184,Tilichiki,60.4667,166.1,46.9,94,100,4.54,RU,2022-09-10 16:33:14
185,Komsomolskiy,40.4272,71.7189,83.12,36,97,11.5,UZ,2022-09-10 16:35:22
186,Januaria,-15.4833,-44.3667,95.56,11,3,5.26,BR,2022-09-10 16:36:23
187,Kapaa,22.0752,-159.319,77.32,90,75,12.66,US,2022-09-10 16:32:10
188,Colares,38.7992,-9.4469,85.19,57,0,8.05,PT,2022-09-10 16:36:23
189,Baruun-Urt,46.6806,113.2792,63.91,24,7,8.34,MN,2022-09-10 16:36:24
190,Pakxan,18.3778,103.6601,73.63,97,100,3.53,LA,2022-09-10 16:36:24
191,Khuzdar,27.7384,66.6434,84.43,43,11,3.56,PK,2022-09-10 16:36:24
192,Zhigansk,66.7697,123.3711,36.84,97,100,18.45,RU,2022-09-10 16:36:25
193,Palauig,15.435,119.9045,81.3,80,99,4.54,PH,2022-09-10 16:36:25
194,Kologriv,58.8275,44.3178,46.67,77,90,4.47,RU,2022-09-10 16:36:25
195,Torbat-E Jam,35.244,60.6225,72.36,45,0,22.77,IR,2022-09-10 16:36:25
