City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
137,Aasiaat,68.7098,-52.8699,41.86,87,100,24.34,GL,overcast clouds
138,Praia Da Vitoria,38.7333,-27.0667,74.75,83,40,27.18,PT,scattered clouds
139,Gibara,21.1097,-76.1317,90.45,56,10,15.32,CU,clear sky
140,Valdivia,-39.8142,-73.2459,51.89,72,99,3.51,CL,overcast clouds
141,Pokhara,28.2333,83.9833,71.76,91,85,2.66,NP,overcast clouds
142,Mahebourg,-20.4081,57.7,72.25,73,75,6.91,MU,broken clouds
143,Victoria,22.2855,114.1577,87.19,78,3,1.01,HK,clear sky
144,Stockach,47.85,9.0167,72.25,58,43,3.24,DE,scattered clouds
145,Neiafu,-18.65,-173.9833,75.88,94,75,4.61,TO,broken clouds
146,Balikpapan,-1.2675,116.8289,76.19,94,40,0.0,ID,scattered clouds
147,Cidreira,-30.1811,-50.2056,57.49,58,0,8.03,BR,clear sky
148,Haines Junction,60.7522,-137.5108,22.95,93,9,0.0,CA,clear sky
149,Hasaki,35.7333,140.8333,73.8,85,83,18.32,JP,broken clouds
150,Sakakah,29.9697,40.2064,108.97,12,0,10.0,SA,clear sky
151,Tuatapere,-46.1333,167.6833,43.86,84,100,6.08,NZ,overcast clouds
152,Nizhniy Kuranakh,58.8353,125.4869,37.18,92,20,2.28,RU,few clouds
153,Baculin,7.4525,126.5842,78.39,83,100,6.13,PH,overcast clouds
154,Kaeo,-35.1,173.7833,57.33,96,96,12.64,NZ,overcast clouds
155,Sioux Lookout,50.1001,-91.917,59.07,72,20,5.75,CA,few clouds
156,Alofi,-19.0595,-169.9187,67.89,94,93,0.0,NU,overcast clouds
157,Dymer,50.7865,30.3026,60.85,89,98,13.18,UA,light rain
158,Gornyatskiy,48.2915,40.9575,64.18,26,100,14.9,RU,overcast clouds
159,Bambous Virieux,-20.3428,57.7575,72.21,73,75,6.91,MU,broken clouds
160,Nagornskiy,58.7731,57.5451,43.79,97,95,2.68,RU,overcast clouds
161,Bathsheba,13.2167,-59.5167,86.61,66,20,16.11,BB,few clouds
162,Rincon,32.296,-81.2354,87.94,77,73,4.38,US,broken clouds
163,Rio Gallegos,-51.6226,-69.2181,48.25,61,75,14.97,AR,broken clouds
164,Naze,28.3667,129.4833,81.52,84,99,11.27,JP,overcast clouds
165,Bowen,-20.0167,148.2333,63.72,88,0,7.52,AU,clear sky
166,Iqaluit,63.7506,-68.5145,46.13,76,75,12.66,CA,broken clouds
167,Saint-Georges,12.0564,-61.7485,87.48,70,20,24.16,GD,few clouds
168,Halifax,44.6453,-63.5724,79.45,54,0,17.27,CA,clear sky
169,Provideniya,64.3833,-173.3,44.04,83,100,18.1,RU,overcast clouds
170,Jalali,27.8667,78.2667,88.88,52,57,6.4,IN,broken clouds
171,Andenes,69.3143,16.1194,49.98,93,100,17.27,NO,light rain
172,Ostersund,63.1792,14.6357,54.61,54,19,9.22,SE,few clouds
173,Qingdao,36.0986,120.3719,69.4,88,0,4.47,CN,clear sky
174,Lengshuijiang,27.6881,111.4294,75.61,59,21,1.83,CN,few clouds
175,Mitsamiouli,-11.3847,43.2844,76.21,71,52,3.87,KM,light rain
176,Ilulissat,69.2167,-51.1,38.98,97,100,6.33,GL,moderate rain
177,Elko,41.0002,-115.5012,51.82,15,25,2.24,US,scattered clouds
178,Temyasovo,52.9933,58.1014,43.11,69,99,4.34,RU,overcast clouds
179,Castro,-24.7911,-50.0119,62.6,82,100,5.28,BR,overcast clouds
180,Faya,18.3851,42.4509,80.71,30,78,10.6,SA,broken clouds
181,Lata,40.1629,-8.3327,87.93,49,100,8.99,PT,overcast clouds
182,Semirom,31.4167,51.5667,67.82,24,0,4.88,IR,clear sky
183,Tenkodogo,11.78,-0.3697,85.59,59,80,3.24,BF,broken clouds
184,Kamenka,51.3223,42.7678,56.28,40,100,7.29,RU,overcast clouds
185,Maumere,-8.6199,122.2111,77.97,79,43,6.69,ID,scattered clouds
186,Dandong,40.1292,124.3947,63.16,86,92,1.68,CN,overcast clouds
187,Sterling,39.0062,-77.4286,74.21,94,100,5.99,US,mist
188,Mayo,38.8876,-76.5119,74.48,95,100,11.5,US,mist
189,Vostok,46.4856,135.8833,54.3,89,79,3.44,RU,broken clouds
190,Ambon,-3.6954,128.1814,77.23,15,40,6.91,ID,scattered clouds
191,Itoman,26.1247,127.6694,82.42,89,75,14.97,JP,broken clouds
192,Ostrovnoy,68.0531,39.5131,49.42,85,100,9.86,RU,light rain
193,Kabwe,-14.4469,28.4464,78.42,17,0,7.54,ZM,clear sky
194,Dikson,73.5069,80.5464,36.79,97,100,27.13,RU,light rain
195,Lubango,-14.9172,13.4925,72.88,40,84,10.78,AO,broken clouds
196,Souillac,-20.5167,57.5167,71.98,73,75,6.91,MU,broken clouds
197,Lerwick,60.1545,-1.1494,57.2,84,99,16.82,GB,overcast clouds
198,Hirara,24.8,125.2833,80.92,85,100,36.26,JP,light rain
