City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Tenkodogo,BF,85.59,broken clouds,11.78,-0.3697,
184,Kamenka,RU,56.28,overcast clouds,51.3223,42.7678,
185,Maumere,ID,77.97,scattered clouds,-8.6199,122.2111,
186,Dandong,CN,63.16,overcast clouds,40.1292,124.3947,
187,Sterling,US,74.21,mist,39.0062,-77.4286,
188,Mayo,US,74.48,mist,38.8876,-76.5119,
189,Vostok,RU,54.3,broken clouds,46.4856,135.8833,
190,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,
191,Itoman,JP,82.42,broken clouds,26.1247,127.6694,
192,Ostrovnoy,RU,49.42,light rain,68.0531,39.5131,
193,Kabwe,ZM,78.42,clear sky,-14.4469,28.4464,
194,Dikson,RU,36.79,light rain,73.5069,80.5464,
195,Lubango,AO,72.88,broken clouds,-14.9172,13.4925,
196,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,
197,Lerwick,GB,57.2,overcast clouds,60.1545,-1.1494,
198,Hirara,JP,80.92,light rain,24.8,125.2833,
199,Mulki,IN,79.88,broken clouds,13.1,74.8,
200,Bengkulu,ID,76.08,broken clouds,-3.8004,102.2655,
201,Mali,GN,66.7,light rain,12.079,-12.2982,
202,Meulaboh,ID,78.28,overcast clouds,4.1363,96.1285,
203,Palmer,US,74.48,overcast clouds,42.1584,-72.3287,
204,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,
205,Tual,ID,80.51,broken clouds,-5.6667,132.75,
206,Kayalpattinam,IN,82.45,scattered clouds,8.5667,78.1167,
207,Salihorsk,BY,48.11,overcast clouds,52.7876,27.5415,
208,Yarada,IN,80.92,thunderstorm,17.65,83.2667,
209,Saint-Francois,FR,76.68,clear sky,46.4154,3.9054,
210,Puerto Escondido,MX,79.39,overcast clouds,15.85,-97.0667,
211,Tavda,RU,41.59,broken clouds,58.0425,65.2726,
212,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,
213,Karachi,PK,84.02,few clouds,24.9056,67.0822,
214,Grindavik,IS,52.27,few clouds,63.8424,-22.4338,
215,Upernavik,GL,40.57,light rain,72.7868,-56.1549,
216,Viytivka,UA,67.12,broken clouds,48.426,29.5429,
217,Rawson,AR,62.49,clear sky,-43.3002,-65.1023,
218,Lang Son,VN,73.45,overcast clouds,21.8333,106.7333,
219,Honiara,SB,76.48,broken clouds,-9.4333,159.95,
220,Mahon,ES,84.76,few clouds,39.8885,4.2658,
221,Karpogory,RU,48.85,overcast clouds,64.0019,44.4451,
222,Astana,KZ,48.15,overcast clouds,51.1801,71.446,
223,Thompson,CA,57.36,clear sky,55.7435,-97.8558,
224,Narsaq,GL,49.86,scattered clouds,60.9167,-46.05,
225,Kavaratti,IN,80.64,overcast clouds,10.5669,72.642,
226,Kamina,CD,77.22,overcast clouds,-8.7386,24.9906,
227,Cherskiy,RU,40.82,overcast clouds,68.75,161.3,
228,Beringovskiy,RU,45.37,overcast clouds,63.05,179.3167,
229,Oxford,GB,73.54,scattered clouds,51.7522,-1.256,
230,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,
231,Mount Isa,AU,62.37,broken clouds,-20.7333,139.5,
232,Peniche,PT,85.08,overcast clouds,39.3558,-9.3811,
233,Warrnambool,AU,48.7,overcast clouds,-38.3833,142.4833,
234,Barrow,US,33.82,overcast clouds,71.2906,-156.7887,
235,Cervo,ES,71.96,overcast clouds,43.6702,-7.4101,
236,Fukue,JP,79.0,overcast clouds,32.6881,128.8419,
237,Lekoni,GA,80.44,overcast clouds,-1.5843,14.2591,
238,Port Blair,IN,80.64,mist,11.6667,92.75,
239,Santa Maria,BR,60.1,clear sky,-29.6842,-53.8069,
241,Umm Lajj,SA,87.42,clear sky,25.0213,37.2685,
242,Waingapu,ID,75.63,scattered clouds,-9.6567,120.2641,
243,Yaval,IN,78.58,overcast clouds,21.1667,75.7,
244,Belmonte,BR,78.6,clear sky,-15.8631,-38.8828,
245,Iralaya,HN,84.29,broken clouds,15.0,-83.2333,
246,Beloomut,RU,54.23,overcast clouds,54.9448,39.3394,
247,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,
248,Saurimo,AO,88.21,scattered clouds,-9.6608,20.3916,
249,Nara,JP,80.49,few clouds,34.6851,135.8049,
250,Fare,PF,78.62,light rain,-16.7,-151.0167,
251,Flinders,AU,55.18,clear sky,-34.5833,150.8552,
252,Leningradskiy,RU,35.29,broken clouds,69.3833,178.4167,
253,Atbasar,KZ,50.41,overcast clouds,51.8,68.3333,
254,Labuhan,ID,79.77,overcast clouds,-6.8844,112.2051,
255,Isangel,VU,73.45,clear sky,-19.55,169.2667,
256,Torbay,CA,59.58,heavy intensity rain,47.6666,-52.7314,
257,South Lake Tahoe,US,70.27,overcast clouds,38.9332,-119.9844,
258,Mao,ES,84.76,few clouds,39.8885,4.2658,
259,Xining,CN,53.13,scattered clouds,36.6167,101.7667,
260,Nsanje,MW,87.04,clear sky,-16.92,35.262,
261,Ginda,IN,64.47,broken clouds,30.6945,78.4932,
262,Gembloux,BE,74.98,overcast clouds,50.561,4.697,
263,Ulaangom,MN,57.85,broken clouds,49.9811,92.0667,
264,Mackay,AU,63.68,clear sky,-21.15,149.2,
265,Thinadhoo,MV,82.49,scattered clouds,0.5333,72.9333,
266,Bilibino,RU,44.76,overcast clouds,68.0546,166.4372,
